,Unnamed: 0,timestamp,R1,RSS1,R2,RSS2,R3,RSS3,R4,RSS4,R5,RSS5,R6,RSS6,R7,RSS7,R8,RSS8,X_M1,Y_M1,Z_M1,X_M2,Y_M2,Z_M2,X_M3,Y_M3,Z_M3,X_M4,Y_M4,Z_M4
0,0,1541175574,3.216,-85,3.174,-87,3.314,-84,1.366,-81,2.036,-86,1.849,-82,3.703,-84,2.818,-91,0.531483,0.410829,0.536858,0.6394380000000001,0.4106,0.508177,0.669722,0.4108350000000001,0.6149789999999999,0.563296,0.409539,0.644522
1,1,1541175575,3.282,-87,3.174,-85,3.361,-85,1.371,-81,2.186,-87,1.835,-83,3.726,-83,2.8,-89,0.52246,0.410655,0.539479,0.630402,0.410501,0.5107520000000001,0.660787,0.410868,0.617885,0.5536399999999999,0.409476,0.646418
2,2,1541175575,3.188,-86,3.156,-85,3.38,-84,1.38,-81,1.882,-88,1.831,-82,3.698,-84,2.804,-90,0.514602,0.410368,0.541117,0.622588,0.409811,0.512905,0.652451,0.410538,0.6200859999999999,0.545868,0.409464,0.64883
3,3,1541175575,3.2260000000000004,-87,3.151,-85,3.347,-83,1.371,-81,2.046,-89,1.807,-82,3.717,-83,2.822,-89,0.504937,0.410554,0.542954,0.613003,0.410168,0.514695,0.642987,0.4104100000000001,0.622037,0.535726,0.40964,0.650524
4,4,1541175575,3.254,-86,3.151,-85,3.333,-84,1.39,-83,2.205,-88,1.84,-82,3.722,-83,2.865,-89,0.499558,0.41109,0.5451600000000001,0.607382,0.409219,0.516925,0.63697,0.409604,0.62403,0.529872,0.409975,0.652379
5,5,1541175575,3.17,-86,3.1180000000000003,-85,3.357,-84,1.366,-82,2.069,-88,1.831,-82,3.726,-84,2.813,-89,0.494458,0.411768,0.546473,0.602903,0.408928,0.518686,0.631627,0.40942,0.626174,0.5244479999999999,0.410476,0.6539189999999999
6,6,1541175575,3.263,-89,3.099,-85,3.357,-84,1.404,-81,2.074,-88,1.812,-81,3.717,-83,2.837,-93,0.484885,0.411134,0.5484289999999999,0.59291,0.409081,0.520701,0.621953,0.409475,0.628099,0.5149020000000001,0.410501,0.65605
7,7,1541175575,3.198,-86,3.104,-85,3.357,-84,1.38,-83,2.083,-88,1.821,-82,3.703,-84,2.841,-89,0.474983,0.411054,0.550664,0.583445,0.408833,0.52381,0.6118640000000001,0.409543,0.631612,0.5043310000000001,0.410539,0.65842
8,8,1541175575,3.165,-86,3.1180000000000003,-85,3.366,-84,1.423,-82,1.746,-87,1.831,-82,3.736,-83,2.888,-89,0.465915,0.411107,0.553837,0.574345,0.409009,0.527826,0.602,0.40931,0.634966,0.494507,0.410045,0.661507
9,9,1541175575,3.357,-87,3.099,-84,3.357,-84,1.423,-82,1.605,-88,1.831,-81,3.694,-83,2.874,-87,0.4567729999999999,0.411186,0.555863,0.565524,0.409198,0.530265,0.592427,0.409225,0.638532,0.484808,0.4100140000000001,0.66418
10,10,1541175575,3.306,-86,3.109,-85,3.385,-85,1.404,-82,1.62,-89,1.845,-81,3.731,-86,2.846,-90,0.449315,0.411944,0.558087,0.558025,0.409569,0.5343979999999999,0.58403,0.409411,0.6426430000000001,0.4760970000000001,0.410362,0.667087
11,11,1541175575,3.2960000000000003,-85,3.109,-86,3.357,-86,1.474,-81,1.666,-89,1.779,-81,3.684,-84,2.841,-88,0.441519,0.412011,0.561454,0.5507989999999999,0.409729,0.5388,0.574963,0.409168,0.6475920000000001,0.466357,0.409867,0.669974
12,12,1541175575,3.464,-86,3.057,-84,3.385,-83,1.474,-82,1.746,-89,1.774,-81,3.694,-84,2.822,-86,0.43521,0.412128,0.5629069999999999,0.544844,0.409604,0.541323,0.568164,0.408994,0.650149,0.4597520000000001,0.410036,0.672046
13,13,1541175575,3.418,-86,3.057,-84,3.375,-83,1.4880000000000002,-83,1.746,-91,1.798,-81,3.68,-84,2.846,-87,0.422313,0.412127,0.5655100000000001,0.531981,0.410036,0.54485,0.554281,0.409274,0.654303,0.444976,0.409517,0.674354
14,14,1541175575,3.3,-85,3.062,-84,3.38,-85,1.493,-83,1.76,-89,1.76,-81,3.689,-84,2.813,-86,0.413337,0.412098,0.56697,0.523454,0.410077,0.5479229999999999,0.544071,0.408927,0.657311,0.434996,0.409298,0.676412
15,15,1541175575,3.488,-87,3.048,-86,3.389,-86,1.5019999999999998,-84,1.756,-89,1.779,-81,3.731,-84,2.855,-86,0.404404,0.412008,0.569227,0.5145609999999999,0.410243,0.5509229999999999,0.534632,0.408768,0.6605800000000001,0.425019,0.409305,0.678562
16,16,1541175575,3.38,-86,3.057,-84,3.4130000000000003,-84,1.4880000000000002,-82,1.844,-90,1.774,-81,3.703,-83,2.855,-87,0.395952,0.412222,0.570257,0.50657,0.410125,0.5533319999999999,0.524931,0.408786,0.6627930000000001,0.415199,0.409427,0.679945
17,17,1541175575,3.389,-86,3.071,-84,3.3710000000000004,-86,1.469,-83,1.817,-89,1.741,-81,3.689,-84,2.837,-87,0.386359,0.412379,0.56968,0.497094,0.410154,0.553267,0.5147229999999999,0.409492,0.663313,0.404984,0.409748,0.679474
18,18,1541175575,3.273,-86,3.048,-84,3.375,-84,1.521,-84,1.849,-90,1.76,-81,3.675,-84,2.818,-86,0.377496,0.411921,0.56855,0.489084,0.409864,0.553204,0.505015,0.409521,0.6632279999999999,0.394686,0.4101260000000001,0.677805
19,19,1541175575,3.2310000000000003,-86,3.062,-84,3.403,-83,1.484,-84,1.896,-87,1.746,-81,3.689,-86,2.822,-85,0.36918,0.4119310000000001,0.5673020000000001,0.479873,0.409997,0.555233,0.493782,0.410187,0.665504,0.383526,0.410298,0.677719
20,20,1541175575,3.2960000000000003,-87,3.034,-83,3.394,-85,1.432,-84,1.91,-86,1.765,-83,3.684,-85,2.814,-85,0.35930300000000004,0.412019,0.568574,0.470703,0.410632,0.5584210000000001,0.482254,0.41025,0.669092,0.371487,0.41011,0.679134
21,21,1541175576,3.24,-89,3.0660000000000003,-85,3.385,-83,1.371,-84,1.943,-87,1.732,-81,3.666,-84,2.813,-85,0.349456,0.411823,0.569155,0.460784,0.410675,0.559197,0.471784,0.4103270000000001,0.670126,0.36139,0.410213,0.679438
22,22,1541175576,3.324,-87,3.08,-83,3.361,-84,1.352,-85,1.933,-86,1.737,-82,3.68,-83,2.795,-84,0.339929,0.411837,0.568566,0.450992,0.4102560000000001,0.5589529999999999,0.462381,0.410158,0.6694180000000001,0.351898,0.4102020000000001,0.67896
23,23,1541175576,3.306,-87,3.029,-83,3.394,-84,1.315,-84,1.933,-86,1.737,-81,3.666,-83,2.804,-84,0.330197,0.411768,0.569159,0.441776,0.410452,0.56028,0.452441,0.410412,0.670607,0.341697,0.410295,0.6796399999999999
24,24,1541175576,3.305,-87,3.034,-83,3.385,-84,1.297,-85,1.966,-86,1.685,-82,3.656,-83,2.762,-84,0.320961,0.411826,0.5702510000000001,0.432415,0.410492,0.561379,0.4428,0.410673,0.672525,0.331822,0.410069,0.680878
25,25,1541175576,3.3,-89,3.019,-84,3.385,-85,1.32,-87,1.985,-91,1.713,-84,3.642,-83,2.757,-84,0.312195,0.411934,0.570612,0.423495,0.4105470000000001,0.562048,0.4336890000000001,0.410375,0.672832,0.322746,0.410128,0.6812779999999999
26,26,1541175576,3.268,-86,3.024,-83,3.375,-84,1.315,-86,1.989,-87,1.723,-82,3.619,-83,2.757,-84,0.30343400000000004,0.411699,0.570576,0.414681,0.41,0.562263,0.424582,0.410502,0.672782,0.313892,0.410553,0.681086
27,27,1541175576,3.24,-86,2.963,-83,3.3710000000000004,-83,1.306,-86,1.989,-87,1.713,-82,3.605,-83,2.729,-84,0.294241,0.411592,0.571131,0.405578,0.409981,0.563263,0.415111,0.410211,0.673804,0.304669,0.410498,0.681707
28,28,1541175576,3.277,-86,3.01,-83,3.338,-83,1.362,-86,1.994,-87,1.681,-81,3.614,-83,2.753,-85,0.284229,0.411695,0.571908,0.395777,0.409996,0.564415,0.40491,0.410328,0.6752,0.294395,0.410656,0.68247
29,29,1541175576,3.263,-86,2.991,-83,3.342,-84,1.348,-86,2.013,-87,1.704,-81,3.614,-83,2.734,-83,0.273771,0.411491,0.5723689999999999,0.38563,0.4100220000000001,0.565067,0.394161,0.410405,0.67582,0.28336100000000003,0.410293,0.68294
30,30,1541175576,3.31,-88,2.959,-84,3.38,-83,1.366,-89,2.046,-88,1.704,-82,3.59,-85,2.748,-84,0.263705,0.411219,0.5729,0.375055,0.410124,0.565732,0.383682,0.410292,0.6765479999999999,0.272797,0.410298,0.683366
31,31,1541175576,3.268,-87,2.935,-83,3.347,-83,1.455,-87,2.008,-87,1.671,-82,3.605,-83,2.715,-83,0.253072,0.411191,0.573064,0.364456,0.410369,0.566534,0.372755,0.410447,0.677532,0.261986,0.410056,0.6840229999999999
