timestamp,R1,RSS1,R2,RSS2,R3,RSS3,R4,RSS4,R5,RSS5,R6,RSS6,R7,RSS7,R8,RSS8,X_M1,Y_M1,Z_M1,X_M2,Y_M2,Z_M2,X_M3,Y_M3,Z_M3,X_M4,Y_M4,Z_M4
1541176642,3.507,-88,2.032,-82,3.165,-88,2.397,-85,2.701,-83,2.022,-81,2.86,-83,2.083,-81,-0.626548,0.407497,0.404243,-0.615703,0.404653,0.292827,-0.504616,0.406709,0.301164,-0.515207,0.40813,0.412042
1541176642,3.502,-87,2.027,-82,3.202,-88,2.425,-84,2.711,-83,2.036,-82,2.86,-83,2.092,-81,-0.626171,0.407466,0.416095,-0.617323,0.404767,0.304343,-0.506727,0.406917,0.310292,-0.514982,0.408182,0.421651
1541176642,3.511,-87,2.041,-82,3.179,-88,2.392,-84,2.734,-85,2.041,-82,2.874,-83,2.083,-81,-0.62577,0.407715,0.428012,-0.619092,0.404936,0.315606,-0.508267,0.407015,0.320039,-0.514313,0.407595,0.430948
1541176642,3.521,-87,2.06,-82,3.141,-90,2.397,-85,2.725,-83,1.985,-83,2.883,-85,2.069,-84,-0.624794,0.407521,0.439217,-0.620845,0.405526,0.328056,-0.509436,0.407179,0.329375,-0.513234,0.407528,0.440398
1541176642,3.53,-88,2.041,-83,3.254,-88,2.359,-85,2.706,-83,1.971,-81,2.874,-83,2.069,-81,-0.623216,0.407557,0.451164,-0.620653,0.406066,0.339023,-0.509659,0.407331,0.33896,-0.511745,0.407181,0.449879
1541176642,3.535,-87,2.05,-82,3.221,-89,2.364,-84,2.706,-84,1.975,-81,2.907,-83,2.065,-81,-0.621974,0.407731,0.462935,-0.621646,0.405805,0.351197,-0.510668,0.407608,0.348303,-0.510207,0.407214,0.459746
1541176642,3.558,-88,2.065,-82,3.231,-90,2.359,-86,2.706,-83,1.966,-81,2.921,-84,2.05,-81,-0.620706,0.407537,0.47448,-0.623027,0.405925,0.363017,-0.511852,0.407623,0.357681,-0.509114,0.406997,0.468925
1541176642,3.581,-87,2.083,-82,3.231,-89,2.364,-85,2.715,-84,1.966,-83,2.921,-85,2.06,-82,-0.619528,0.407576,0.485858,-0.623855,0.405997,0.374213,-0.512746,0.407289,0.367194,-0.507939,0.406977,0.47789
1541176642,3.586,-90,2.083,-83,3.259,-92,2.373,-87,2.701,-83,1.924,-81,2.944,-83,2.027,-81,-0.617279,0.407704,0.497234,-0.623712,0.406109,0.385818,-0.512631,0.407677,0.376481,-0.505903,0.406648,0.487447
1541176642,3.572,-88,2.079,-82,3.226,-89,2.388,-85,2.72,-83,1.952,-81,2.968,-83,2.027,-82,-0.614618,0.407352,0.508907,-0.622927,0.406374,0.397598,-0.512293,0.407755,0.38612,-0.503202,0.406547,0.497011
