timestamp,R1,RSS1,R2,RSS2,R3,RSS3,R4,RSS4,R5,RSS5,R6,RSS6,R7,RSS7,R8,RSS8,X_M1,Y_M1,Z_M1,X_M2,Y_M2,Z_M2,X_M3,Y_M3,Z_M3,X_M4,Y_M4,Z_M4
1541177544,3.877,-88,1.802,-82,3.31,-88,2.65,-88,3.015,-84,1.98,-82,2.926,-85,1.751,-81,-0.897216,0.403837,0.581339,-0.908988,0.401621,0.470131,-0.799349,0.404118,0.455084,-0.785548,0.404126,0.565149
1541177544,3.938,-87,1.84,-82,3.31,-88,2.692,-87,3.001,-84,1.98,-82,2.893,-86,1.695,-81,-0.894672,0.403701,0.595143,-0.909264,0.40173,0.484506,-0.799805,0.404511,0.466324,-0.782726,0.404456,0.575626
1541177544,3.9,-89,1.844,-83,3.361,-87,2.631,-86,3.01,-84,1.966,-84,2.926,-88,1.732,-82,-0.889657,0.403558,0.608175,-0.907928,0.401832,0.497825,-0.798836,0.404207,0.477352,-0.779468,0.404181,0.586336
1541177544,3.947,-89,1.877,-82,3.361,-90,2.664,-89,2.968,-84,1.957,-82,2.883,-86,1.699,-81,-0.884824,0.403687,0.621259,-0.905985,0.40205,0.511445,-0.797165,0.404162,0.488032,-0.775424,0.404316,0.596411
1541177544,3.923,-86,1.868,-81,3.357,-88,2.64,-86,2.977,-83,1.971,-82,2.921,-87,1.718,-81,-0.880144,0.403388,0.634341,-0.904441,0.401882,0.525202,-0.796358,0.404093,0.498367,-0.771405,0.403973,0.60682
1541177544,3.989,-86,1.91,-81,3.347,-88,2.617,-87,2.996,-84,1.961,-82,2.898,-87,1.709,-81,-0.876268,0.40374,0.647383,-0.903484,0.402165,0.539362,-0.795722,0.404313,0.508925,-0.768043,0.403914,0.616871
1541177544,3.956,-87,1.943,-81,3.408,-87,2.612,-87,2.991,-84,1.914,-82,2.916,-88,1.704,-81,-0.871351,0.403257,0.659381,-0.901263,0.401925,0.55209,-0.794718,0.403851,0.519729,-0.764379,0.404088,0.626476
1541177544,3.938,-89,1.952,-82,3.38,-90,2.607,-90,3.024,-84,1.91,-82,2.94,-88,1.671,-81,-0.865249,0.403585,0.67152,-0.898229,0.401778,0.564706,-0.792186,0.4041,0.529418,-0.759371,0.403684,0.635689
1541177545,3.956,-86,1.928,-81,3.394,-87,2.589,-87,2.987,-83,1.9,-82,2.921,-87,1.652,-81,-0.85897,0.40329,0.683795,-0.894475,0.401622,0.578016,-0.789783,0.403864,0.539891,-0.754202,0.403471,0.64536
1541177545,3.938,-86,1.938,-81,3.427,-87,2.607,-87,3.01,-83,1.882,-82,2.907,-87,1.699,-81,-0.853078,0.403412,0.696888,-0.891601,0.401802,0.591727,-0.787893,0.403752,0.550988,-0.749494,0.403693,0.65502
