timestamp,R1,RSS1,R2,RSS2,R3,RSS3,R4,RSS4,R5,RSS5,R6,RSS6,R7,RSS7,R8,RSS8,X_M1,Y_M1,Z_M1,X_M2,Y_M2,Z_M2,X_M3,Y_M3,Z_M3,X_M4,Y_M4,Z_M4,X_M5,Y_M5,Z_M5,,,
1540477927.81075,1.273,-81,2.79,-90,1.441,-81,1.38,-81,1.685,-81,1.325,-80,0.959,-80,1.212,-82,0.473369,0.594547,0.437601,0.473122,0.68312,0.439713,0.318151,0.741168,0.440889,0.241219,0.561098,0.438792,0.36164,0.635967,0.615657,,,
1540477927.8607,1.325,-81,2.809,-88,1.446,-83,1.408,-80,1.727,-85,1.297,-80,0.964,-82,1.193,-82,0.472323,0.593263,0.43781,0.469277,0.681654,0.439525,0.312707,0.735177,0.440865,0.240835,0.552836,0.438039,0.358778,0.63092,0.615538,,,
1540477927.91069,1.334,-82,2.795,-86,1.441,-80,1.408,-79,1.713,-82,1.329,-80,0.941,-81,1.189,-81,0.471516,0.590735,0.437931,0.465761,0.68011,0.439792,0.307853,0.728904,0.440615,0.241013,0.544599,0.438028,0.356401,0.626288,0.615569,,,
1540477927.96072,1.348,-86,2.767,-86,1.427,-80,1.385,-80,1.704,-81,1.311,-80,0.964,-80,1.151,-81,0.470376,0.589547,0.437683,0.462799,0.678146,0.439363,0.303552,0.723623,0.440308,0.241717,0.537739,0.438156,0.354643,0.621681,0.615329,,,
1540477928.01069,1.325,-81,2.743,-86,1.418,-80,1.427,-79,1.671,-82,1.315,-80,0.988,-80,1.198,-81,0.469005,0.587708,0.438048,0.459665,0.676182,0.439628,0.299285,0.717214,0.440574,0.241801,0.530016,0.437849,0.353077,0.616855,0.615435,,,
1540477928.06074,1.315,-81,2.753,-88,1.455,-80,1.408,-79,1.685,-81,1.353,-80,0.988,-80,1.212,-81,0.468738,0.586849,0.437679,0.458034,0.674807,0.439551,0.296427,0.713373,0.440658,0.241986,0.525149,0.437612,0.351995,0.6138,0.615639,,,
1540477928.1107,1.334,-81,2.776,-92,1.46,-82,1.38,-80,1.676,-81,1.385,-80,0.927,-80,1.189,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1540477928.16069,1.353,-82,2.786,-86,1.446,-80,1.376,-80,1.666,-81,1.362,-80,0.941,-80,1.207,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1540477928.21067,1.306,-81,2.743,-86,1.469,-80,1.427,-80,1.666,-82,1.394,-80,0.945,-80,1.226,-81,0.468251,0.5884,0.437573,0.450159,0.675303,0.438343,0.286493,0.701275,0.438982,0.246848,0.509179,0.439336,0.349735,0.608833,0.615045,,,
1540477928.26069,1.371,-82,2.734,-87,1.493,-80,1.394,-83,1.704,-85,1.348,-80,0.974,-79,1.17,-80,0.468528,0.582756,0.437294,0.449927,0.669708,0.438431,0.286292,0.694398,0.439269,0.248335,0.501701,0.43868,0.350505,0.601501,0.614874,,,
1540477928.31068,1.339,-81,2.725,-89,1.465,-82,1.371,-80,1.718,-85,1.413,-80,1.02,-82,1.179,-82,0.467545,0.577437,0.437327,0.447469,0.663793,0.438561,0.283227,0.685547,0.439512,0.248522,0.492946,0.43872,0.348874,0.593105,0.615058,,,
1540477928.36077,1.357,-83,2.725,-87,1.437,-81,1.371,-80,1.676,-81,1.446,-81,0.983,-80,1.184,-81,0.465505,0.574418,0.43755,0.443023,0.660034,0.438743,0.277952,0.677017,0.43921,0.248772,0.483287,0.438005,0.345929,0.586894,0.615194,,,
1540477928.41074,1.339,-81,2.72,-88,1.451,-81,1.432,-80,1.666,-82,1.38,-81,0.955,-80,1.175,-80,0.463351,0.572792,0.437664,0.440984,0.658666,0.438321,0.27635,0.676094,0.438449,0.24707,0.482477,0.438367,0.343306,0.586345,0.615105,,,
1540477928.46077,1.329,-82,2.701,-86,1.441,-80,1.399,-80,1.662,-81,1.38,-80,0.955,-80,1.198,-81,0.463692,0.571153,0.437438,0.442153,0.657268,0.437964,0.277345,0.675937,0.438283,0.246706,0.482554,0.439132,0.344655,0.58678,0.614929,,,
1540477928.51069,1.348,-81,2.706,-88,1.465,-81,1.418,-80,1.648,-81,1.394,-80,0.964,-80,1.226,-80,0.465381,0.568606,0.436865,0.442721,0.654128,0.437293,0.277529,0.671026,0.438352,0.249573,0.477548,0.439418,0.346498,0.582695,0.61483,,,
1540477928.56072,1.339,-81,2.729,-92,1.408,-84,1.408,-83,1.671,-82,1.413,-81,0.969,-80,1.198,-81,0.466573,0.563824,0.436664,0.443007,0.649161,0.43713,0.277733,0.664586,0.438584,0.250546,0.470949,0.439246,0.346934,0.576762,0.614827,,,
1540477928.61074,1.357,-83,2.743,-88,1.535,-83,1.437,-83,1.699,-85,1.432,-81,0.992,-80,1.17,-82,0.464358,0.559473,0.436795,0.439823,0.644204,0.437313,0.274328,0.656978,0.438243,0.250181,0.462761,0.439115,0.345242,0.570534,0.614453,,,
1540477928.66073,1.315,-81,2.72,-86,1.469,-81,1.418,-81,1.652,-81,1.394,-81,1.011,-80,1.193,-81,0.462405,0.55562,0.436955,0.436737,0.640265,0.43739,0.271768,0.652512,0.437712,0.248686,0.457522,0.438594,0.342203,0.566094,0.614519,,,
1540477928.71074,1.334,-81,2.72,-86,1.427,-80,1.38,-81,1.638,-82,1.455,-81,0.983,-80,1.217,-81,0.461274,0.552489,0.437144,0.435277,0.637285,0.437248,0.270681,0.649204,0.437757,0.248321,0.45426,0.43865,0.341206,0.56307,0.614464,,,
1540477928.76073,1.325,-81,2.725,-86,1.408,-80,1.418,-83,1.643,-81,1.39,-82,1.067,-80,1.24,-82,0.462279,0.549341,0.436414,0.43662,0.633849,0.436844,0.271175,0.645138,0.437644,0.249593,0.450645,0.438727,0.342745,0.55969,0.614224,,,
1540477928.81069,1.325,-84,2.696,-93,1.455,-84,1.455,-83,1.657,-82,1.498,-81,0.997,-80,1.198,-81,0.463498,0.544932,0.436514,0.436901,0.629804,0.436757,0.271127,0.639844,0.437763,0.250649,0.445268,0.438846,0.343639,0.554633,0.614056,,,
1540477928.8607,1.325,-81,2.682,-86,1.455,-81,1.371,-83,1.652,-82,1.535,-81,1.049,-80,1.217,-81,0.462839,0.540096,0.4363,0.436287,0.625066,0.436674,0.270748,0.63406,0.437412,0.250781,0.439242,0.438756,0.343511,0.550235,0.614139,,,
1540477928.91078,1.334,-81,2.668,-86,1.432,-80,1.371,-80,1.615,-81,1.455,-81,1.053,-80,1.146,-81,0.461548,0.535005,0.436461,0.435312,0.620092,0.436682,0.269979,0.629675,0.437543,0.249641,0.434642,0.438607,0.341689,0.544439,0.614313,,,
1540477928.96068,1.348,-80,2.659,-85,1.418,-81,1.385,-80,1.615,-82,1.46,-81,1.049,-81,1.175,-81,0.461248,0.530345,0.436364,0.434567,0.615002,0.436544,0.269325,0.624743,0.437383,0.249131,0.430068,0.438394,0.340871,0.539891,0.614231,,,
1540477929.01069,1.325,-81,2.687,-92,1.432,-85,1.423,-81,1.61,-81,1.521,-81,1.095,-81,1.236,-85,0.461268,0.525408,0.436162,0.434975,0.609944,0.436606,0.269767,0.619702,0.437159,0.249284,0.424823,0.438371,0.341911,0.53489,0.613912,,,
1540477929.06069,1.376,-84,2.664,-89,1.441,-82,1.357,-81,1.624,-82,1.469,-81,1.058,-79,1.198,-81,0.461376,0.521166,0.436027,0.43466,0.605412,0.436147,0.268997,0.614683,0.437037,0.249963,0.420303,0.438287,0.341945,0.530038,0.613523,,,
1540477929.11069,1.315,-82,2.654,-85,1.385,-81,1.376,-82,1.657,-81,1.512,-81,1.072,-79,1.203,-81,0.461139,0.516153,0.436156,0.434422,0.600579,0.436145,0.268882,0.609778,0.437,0.249208,0.415322,0.438389,0.34132,0.5251,0.613616,,,
1540477929.16073,1.334,-81,2.654,-85,1.38,-81,1.362,-80,1.638,-82,1.53,-81,1.105,-79,1.175,-82,0.460287,0.511207,0.435963,0.433567,0.595894,0.436231,0.267956,0.604819,0.436936,0.248624,0.410398,0.437841,0.340665,0.520536,0.613507,,,
1540477929.21075,1.343,-80,2.668,-85,1.394,-80,1.38,-80,1.605,-81,1.554,-81,1.091,-81,1.245,-84,0.459934,0.507269,0.436115,0.432619,0.591818,0.4365,0.266751,0.600144,0.436727,0.247874,0.405458,0.437993,0.339087,0.515969,0.613466,,,
1540477929.26069,1.357,-81,2.654,-85,1.437,-82,1.325,-82,1.666,-81,1.568,-82,1.11,-80,1.212,-82,0.458658,0.502599,0.43616,0.431823,0.587206,0.436194,0.266376,0.59592,0.436675,0.247145,0.401153,0.437975,0.338737,0.512066,0.613532,,,
1540477929.31069,1.315,-80,2.682,-86,1.366,-80,1.385,-80,1.587,-82,1.53,-81,1.091,-79,1.165,-81,0.458648,0.498124,0.436242,0.431763,0.582757,0.436228,0.266609,0.592055,0.43677,0.246543,0.396955,0.438029,0.339008,0.508215,0.613596,,,
1540477929.36078,1.297,-80,2.645,-85,1.385,-80,1.357,-81,1.577,-81,1.596,-81,1.081,-79,1.203,-81,0.45941,0.493726,0.43591,0.432654,0.578437,0.436095,0.267427,0.587674,0.436893,0.247949,0.39255,0.438296,0.339701,0.503,0.613754,,,
1540477929.41113,1.32,-81,2.65,-87,1.39,-80,1.352,-81,1.605,-81,1.559,-81,1.091,-79,1.17,-81,0.461015,0.489124,0.435762,0.434126,0.573454,0.435647,0.268722,0.582713,0.437148,0.249177,0.387967,0.438562,0.341711,0.498337,0.613866,,,
