,R1,R2,R3,R4,R5,R6,R7,R8,X_M5,Y_M5,Z_M5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.379805,0.0156154,0.692403
1,0.684,1.863,0.768,1.643,1.961,2.444,1.845,1.006,-0.373023,0.0165383,0.692285
2,0.75,1.858,0.82,1.325,1.966,2.35,1.817,1.02,-0.366642,0.017341299999999997,0.692468
3,0.721,1.924,0.778,1.142,1.947,2.298,1.817,1.02,-0.35980700000000004,0.0180987,0.692222
4,0.698,1.872,0.773,1.2919999999999998,1.975,2.28,1.774,1.02,-0.352149,0.0175522,0.692684
5,0.74,1.858,0.8009999999999999,1.339,1.952,2.355,1.821,0.978,-0.3448,0.0176394,0.692531
6,0.7120000000000001,1.882,0.74,1.077,1.919,2.359,1.784,1.006,-0.337716,0.0184063,0.692472
7,0.75,1.877,0.825,0.0,1.933,0.0,1.779,1.016,-0.330372,0.0181613,0.692581
8,0.721,1.891,0.825,1.081,1.919,2.355,1.76,1.044,-0.324114,0.0187948,0.692605
9,0.754,1.905,0.8109999999999999,1.03,1.933,2.322,1.746,1.034,-0.316666,0.0183937,0.692838
10,0.759,1.905,0.8109999999999999,1.114,1.919,2.266,1.746,1.039,-0.309302,0.017962099999999998,0.69266
11,0.764,1.886,0.815,1.128,1.905,2.28,1.817,1.105,-0.30300900000000003,0.0176831,0.6928439999999999
12,0.8059999999999999,1.957,0.787,1.119,1.914,2.27,1.751,1.058,-0.296129,0.017583,0.692897
13,0.754,1.924,0.815,1.17,1.933,2.252,1.732,1.044,-0.28880900000000004,0.017097,0.692763
14,0.8059999999999999,1.943,0.782,1.217,1.886,2.289,1.77,1.058,-0.28210100000000005,0.0155243,0.6929859999999999
15,0.797,1.933,0.731,1.259,1.919,2.289,1.788,1.0490000000000002,-0.275276,0.0147045,0.693039
16,0.8290000000000001,1.966,0.8009999999999999,1.259,1.919,2.2840000000000003,1.756,1.053,-0.268415,0.0140962,0.6927289999999999
17,0.82,1.919,0.8059999999999999,1.264,1.872,2.298,1.751,1.095,-0.261024,0.0137479,0.693127
18,0.8390000000000001,1.91,0.745,1.297,1.849,2.247,1.751,1.086,-0.253946,0.0127295,0.69317
19,0.8340000000000001,1.928,0.759,1.2819999999999998,1.886,2.252,1.741,1.114,-0.246863,0.0113289,0.693172
20,0.815,1.957,0.745,1.245,1.872,2.2230000000000003,1.756,1.058,-0.238905,0.0102814,0.692977
21,0.867,2.004,0.745,1.358,1.9,2.3080000000000003,1.77,1.086,-0.232081,0.0094383,0.693418
22,0.853,1.961,0.736,1.3530000000000002,1.868,2.266,1.741,1.118,-0.224524,0.00824679,0.6932999999999999
23,0.8809999999999999,1.961,0.736,1.339,1.868,2.237,1.713,1.114,-0.217647,0.00725002,0.692912
24,0.889,1.961,0.721,1.339,1.891,2.219,1.774,1.123,-0.209292,0.00615617,0.6930149999999999
25,0.8859999999999999,1.971,0.7170000000000001,1.334,1.919,2.2230000000000003,1.727,1.1,-0.202451,0.00496038,0.693047
26,0.8809999999999999,1.971,0.736,1.3430000000000002,1.835,2.214,1.746,1.142,-0.194538,0.00385554,0.6930939999999999
27,0.848,1.994,0.768,1.352,1.91,2.252,1.732,1.119,-0.186981,0.0027975,0.693281
28,0.862,1.989,0.782,1.297,1.835,2.205,1.737,1.118,-0.17952,0.00130413,0.693031
29,0.8809999999999999,1.98,0.703,1.306,1.844,2.237,1.737,1.146,-0.171046,-4.14925e-07,0.692813
30,0.889,2.022,0.8009999999999999,1.325,1.844,2.233,1.765,1.17,-0.163053,-0.00142714,0.692897
31,0.87,2.013,0.698,1.311,1.845,2.205,1.713,1.091,-0.155503,-0.00300181,0.69324
32,0.894,1.994,0.721,1.348,1.845,2.252,1.695,1.142,-0.147285,-0.00460443,0.693164
33,0.898,1.985,0.7120000000000001,1.3530000000000002,1.863,2.181,1.723,1.11,-0.139913,-0.00605693,0.6929799999999999
34,0.894,2.027,0.6559999999999999,1.385,1.812,2.2,1.76,1.119,-0.13305699999999998,-0.00756648,0.6934659999999999
35,0.917,2.008,0.67,1.329,1.784,2.153,1.727,1.114,-0.127066,-0.008542200000000002,0.693134
36,0.903,2.05,0.675,1.362,1.817,2.153,1.723,1.123,-0.124033,-0.00936111,0.692964
37,0.941,2.027,0.67,1.339,1.788,2.148,1.704,1.1,-0.119508,-0.0113785,0.692956
38,0.931,2.022,0.6890000000000001,1.376,1.835,2.172,1.7180000000000002,1.151,-0.112845,-0.0122943,0.692722
39,0.0,2.013,0.6509999999999999,1.3430000000000002,1.802,2.158,1.709,1.1,-0.105314,-0.0128479,0.6929489999999999
40,0.95,2.036,0.6459999999999999,1.394,1.788,2.144,1.704,1.17,-0.0979369,-0.014155700000000004,0.692863
