,R1,R2,R3,R4,R5,R6,R7,R8,X_M5,Y_M5,Z_M5
56,1.329,2.631,1.189,1.137,1.535,1.455,1.142,1.2919999999999998,0.337231,0.379299,0.697051
57,1.339,2.589,1.25,1.123,1.54,1.385,1.165,1.24,0.337654,0.373781,0.69728
58,1.2919999999999998,2.547,1.189,1.123,1.568,1.39,1.142,1.24,0.33718400000000004,0.368896,0.6970869999999999
59,1.329,2.556,1.1840000000000002,1.095,1.54,1.38,1.203,1.25,0.336866,0.363323,0.697364
60,1.297,2.584,1.231,1.114,1.526,1.38,1.193,1.221,0.337582,0.359032,0.697009
61,1.325,2.612,1.17,1.091,1.5730000000000002,1.39,1.231,1.2819999999999998,0.337748,0.354524,0.6971989999999999
62,1.306,2.57,1.212,1.081,1.53,1.385,1.221,1.221,0.338025,0.350858,0.696817
63,1.278,2.57,1.245,1.091,1.5119999999999998,1.46,1.1840000000000002,1.25,0.338231,0.34588,0.6966779999999999
64,1.278,2.575,1.25,1.058,1.479,1.404,1.24,1.245,0.338112,0.341298,0.696854
65,1.301,2.5660000000000003,1.226,1.118,1.4980000000000002,1.404,1.268,1.273,0.338783,0.337583,0.696856
66,1.311,2.57,1.156,1.137,1.484,1.432,1.236,1.25,0.338565,0.33318000000000003,0.696387
67,1.268,2.528,1.17,1.221,1.4409999999999998,1.4509999999999998,1.217,1.259,0.33826300000000004,0.328056,0.6961999999999999
68,1.301,2.542,1.1840000000000002,1.193,1.469,1.53,1.24,1.259,0.338139,0.322594,0.696372
69,1.278,2.579,1.207,1.221,1.465,1.516,1.231,1.236,0.338296,0.318155,0.696493
70,1.287,2.5380000000000003,1.165,1.203,1.4880000000000002,1.596,1.301,1.25,0.33751,0.312521,0.696294
71,1.306,2.57,1.175,1.179,1.5019999999999998,1.507,1.264,1.306,0.336831,0.307475,0.696376
72,1.2819999999999998,2.556,1.142,1.217,1.465,1.596,1.221,1.2919999999999998,0.336044,0.302833,0.6965739999999999
73,1.287,2.552,1.203,1.165,1.4509999999999998,1.516,1.25,1.287,0.33549,0.298799,0.6964549999999999
74,1.301,2.547,1.161,1.151,1.474,1.54,1.254,1.358,0.334087,0.293829,0.6964509999999999
75,1.278,2.593,1.142,1.156,1.474,1.544,1.245,1.264,0.334326,0.288815,0.6961729999999999
76,1.287,2.542,1.161,1.189,1.4509999999999998,1.554,1.273,1.301,0.33363000000000004,0.284924,0.696263
77,1.254,2.524,1.128,1.128,1.455,1.4880000000000002,1.264,1.2819999999999998,0.332374,0.28038,0.6960939999999999
78,1.287,2.5660000000000003,1.142,1.114,1.516,1.521,1.273,1.301,0.332071,0.275669,0.695946
79,1.278,2.5380000000000003,1.161,1.189,1.54,1.4880000000000002,1.334,1.32,0.331072,0.271631,0.695922
80,1.297,2.5610000000000004,1.142,1.114,1.432,1.5119999999999998,1.306,1.32,0.329905,0.267796,0.6957139999999999
81,1.315,2.5660000000000003,1.142,1.086,1.469,1.53,1.352,1.278,0.328303,0.26310100000000003,0.695758
82,1.254,2.533,1.179,1.067,1.4980000000000002,1.4880000000000002,1.311,1.254,0.327363,0.258533,0.695813
83,1.245,2.542,1.119,1.077,1.474,1.5590000000000002,1.315,1.2819999999999998,0.32615,0.25488,0.6959869999999999
84,1.278,2.509,1.179,1.077,1.432,1.516,1.334,1.301,0.324868,0.250319,0.695726
85,1.287,0.0,1.161,1.072,1.474,1.516,1.3530000000000002,1.2819999999999998,0.323925,0.245743,0.6956439999999999
86,1.259,2.519,1.132,1.002,1.4509999999999998,1.526,1.32,1.278,0.322907,0.24212600000000006,0.6953649999999999
87,1.2819999999999998,2.481,1.17,1.0490000000000002,1.479,1.544,1.352,1.2819999999999998,0.321325,0.240059,0.695754
88,1.264,2.486,1.165,0.959,1.4880000000000002,1.507,1.408,1.2919999999999998,0.31951,0.235804,0.695499
89,1.2819999999999998,0.0,1.142,1.011,1.526,1.516,1.357,1.278,0.317778,0.23140300000000005,0.695549
90,1.297,2.505,1.175,0.978,1.474,1.568,1.39,1.2919999999999998,0.316477,0.226676,0.695052
91,1.268,2.505,1.175,0.955,1.484,1.526,1.399,1.306,0.315237,0.223262,0.695102
92,1.287,2.481,1.156,0.969,1.4880000000000002,1.5590000000000002,1.38,1.339,0.31341,0.220281,0.695232
93,1.3530000000000002,2.491,1.142,1.039,1.4880000000000002,1.615,1.4409999999999998,1.348,0.311497,0.215308,0.695228
94,1.297,2.491,1.189,0.894,1.469,1.5730000000000002,1.371,1.334,0.309613,0.21145500000000006,0.69524
95,1.297,2.467,1.207,0.974,1.507,1.544,1.357,1.306,0.307493,0.20757,0.6950109999999999
96,1.301,2.514,1.142,0.936,1.469,1.554,1.399,1.329,0.30523,0.203798,0.695001
97,1.315,2.463,1.142,0.95,1.4509999999999998,1.5590000000000002,1.385,1.357,0.30277,0.1996,0.69502
98,1.273,2.434,1.114,0.964,1.493,1.568,1.385,1.348,0.30048600000000003,0.19597,0.6948859999999999
99,1.306,2.481,1.081,0.959,1.469,1.568,1.404,1.273,0.298238,0.192937,0.694851
100,1.334,2.477,1.146,0.964,1.474,1.577,1.413,1.306,0.295772,0.189299,0.694839
101,1.2819999999999998,2.43,1.058,0.959,1.465,1.5490000000000002,1.408,1.306,0.293455,0.185937,0.6950399999999999
102,1.264,2.472,1.058,0.95,1.4880000000000002,1.5730000000000002,1.4509999999999998,1.278,0.290771,0.182733,0.6949259999999999
103,1.315,2.444,1.105,0.936,1.493,1.591,1.465,1.315,0.287707,0.179271,0.6950449999999999
104,1.264,2.458,1.067,0.889,1.474,1.605,1.446,1.32,0.284914,0.17590699999999998,0.694766
105,1.306,2.397,1.03,0.908,1.465,1.634,1.474,1.301,0.282006,0.172284,0.694665
106,1.32,2.416,1.044,0.875,1.484,1.662,1.474,1.297,0.279319,0.169326,0.6946699999999999
107,1.32,2.397,1.025,0.931,1.465,1.634,1.479,1.287,0.27607,0.166074,0.694871
108,1.306,2.383,1.0490000000000002,0.908,1.479,1.615,1.493,1.3430000000000002,0.273016,0.163904,0.694692
109,1.306,2.406,0.964,0.917,1.474,1.62,1.479,1.2919999999999998,0.270086,0.161389,0.6948909999999999
110,1.306,2.416,1.011,0.908,1.46,1.6569999999999998,1.507,1.2919999999999998,0.266905,0.158602,0.6945119999999999
111,1.339,2.411,1.02,0.927,1.4980000000000002,1.727,1.53,1.278,0.262959,0.155318,0.694902
112,1.25,2.378,1.03,0.903,1.493,1.652,1.479,1.301,0.259703,0.152101,0.695068
113,1.2819999999999998,2.383,0.988,0.927,1.479,1.634,1.5119999999999998,1.301,0.256421,0.149357,0.694861
114,1.2919999999999998,2.359,1.034,0.913,1.474,1.676,1.5119999999999998,1.236,0.252814,0.147197,0.694867
115,1.278,2.373,0.945,0.894,1.493,1.6569999999999998,1.4880000000000002,1.2919999999999998,0.248833,0.14458,0.6949979999999999
116,1.254,2.298,0.955,0.917,1.484,1.676,1.516,1.315,0.24575,0.142299,0.6951379999999999
117,1.278,2.289,0.964,0.889,1.507,1.681,1.544,1.287,0.242175,0.13930499999999998,0.69497
118,1.268,2.359,0.964,0.875,1.484,1.685,1.544,1.287,0.238326,0.136155,0.6951539999999999
119,1.236,2.2840000000000003,0.95,0.894,1.4880000000000002,1.723,1.493,1.268,0.235266,0.134959,0.695035
120,1.287,2.27,0.927,0.898,1.493,1.751,1.521,1.315,0.231448,0.133359,0.695382
121,1.264,2.275,0.927,0.884,1.493,1.765,1.591,1.334,0.226358,0.131164,0.695438
122,1.334,0.0,0.908,0.875,1.5019999999999998,1.76,1.587,1.259,0.222611,0.129205,0.695398
123,1.32,2.266,0.898,0.884,1.526,1.727,1.596,1.273,0.218014,0.126919,0.695055
124,1.348,2.2840000000000003,0.889,0.894,1.4980000000000002,1.699,1.601,1.273,0.213106,0.12626400000000002,0.695475
125,1.315,2.27,0.889,0.908,1.521,1.7180000000000002,1.624,1.2919999999999998,0.20807,0.12428,0.695656
126,1.3430000000000002,2.28,0.8859999999999999,0.894,1.507,1.695,1.61,1.268,0.203671,0.122906,0.695485
127,1.3530000000000002,2.28,0.8290000000000001,0.88,1.5119999999999998,1.713,1.61,1.2819999999999998,0.200809,0.121314,0.6955899999999999
128,1.362,2.27,0.867,0.872,1.5119999999999998,1.704,1.601,1.268,0.199256,0.120433,0.695637
129,1.297,2.27,0.8390000000000001,0.867,1.493,1.699,1.638,1.264,0.196101,0.120291,0.695384
130,1.287,2.289,0.797,0.8859999999999999,1.5019999999999998,1.7180000000000002,1.643,1.297,0.191022,0.120762,0.695282
131,1.32,2.294,0.792,0.903,1.507,1.732,1.629,1.25,0.186815,0.119304,0.695901
132,1.273,2.294,0.8390000000000001,0.898,1.5119999999999998,1.727,1.615,1.301,0.180929,0.117128,0.6957199999999999
133,1.311,2.294,0.843,0.87,1.484,1.746,1.5630000000000002,1.306,0.175627,0.116252,0.695634
134,1.254,2.256,0.843,0.894,1.521,1.77,1.61,1.329,0.17208900000000002,0.11656099999999997,0.695923
135,1.2819999999999998,2.27,0.872,0.87,1.53,1.76,1.54,1.25,0.16777999999999998,0.116661,0.695555
136,1.273,2.261,0.82,0.922,1.479,1.77,1.465,1.264,0.16358499999999998,0.115772,0.6956119999999999
137,1.236,2.252,0.8290000000000001,0.884,1.474,1.77,1.4409999999999998,1.2819999999999998,0.159725,0.115669,0.695626
138,1.236,2.261,0.8390000000000001,0.903,1.493,1.765,1.4409999999999998,1.311,0.154999,0.11553900000000003,0.695691
139,1.245,2.242,0.8290000000000001,0.941,1.5019999999999998,1.76,1.4269999999999998,1.273,0.150249,0.116104,0.695767
140,1.25,2.219,0.8390000000000001,0.884,1.493,1.77,1.432,1.32,0.144533,0.11615,0.6955649999999999
141,1.24,2.2230000000000003,0.848,0.884,1.484,1.807,1.4369999999999998,1.311,0.138905,0.116793,0.695649
142,1.203,2.2,0.82,0.941,0.0,1.788,1.924,1.311,0.133097,0.11681,0.695706
143,1.203,2.219,0.843,0.922,1.469,1.779,2.256,1.2919999999999998,0.127247,0.1175,0.6960459999999999
144,1.226,2.209,0.8290000000000001,0.922,1.493,1.77,2.158,1.268,0.122551,0.118707,0.6959399999999999
145,1.203,2.209,0.872,0.898,1.5019999999999998,1.76,2.181,1.315,0.11943,0.118785,0.696055
146,1.193,2.219,0.872,0.936,1.455,1.784,1.779,1.311,0.117301,0.118656,0.695862
147,1.156,2.205,0.848,0.894,1.46,1.784,1.713,1.306,0.114456,0.119505,0.695596
148,1.17,2.233,0.857,0.903,1.469,1.77,1.676,1.315,0.109651,0.12099,0.6958859999999999
149,1.151,2.237,0.884,0.988,1.5119999999999998,1.779,1.704,1.315,0.103481,0.123058,0.6960959999999999
150,1.175,2.2230000000000003,0.8859999999999999,0.898,1.484,1.793,1.737,1.306,0.0969576,0.125028,0.6960839999999999
151,1.123,2.209,0.884,0.969,1.413,1.793,1.793,1.287,0.0918844,0.125874,0.696135
152,1.132,2.2,0.853,0.931,1.423,1.784,1.765,1.287,0.088894,0.126141,0.6960529999999999
153,1.151,2.205,0.8759999999999999,0.955,1.4509999999999998,1.784,0.0,1.287,0.0876528,0.126531,0.695819
154,1.132,2.219,0.843,0.974,1.418,1.812,0.0,1.297,0.0865464,0.127196,0.695964
155,1.189,2.2230000000000003,0.848,0.992,1.493,1.812,1.784,1.2919999999999998,0.08529830000000001,0.12779,0.695745
156,1.179,2.233,0.875,0.936,1.465,1.821,1.723,1.32,0.0815022,0.12808,0.696028
157,1.165,2.247,0.848,0.974,1.4509999999999998,1.831,1.732,1.315,0.0775544,0.128305,0.695522
158,1.175,2.2230000000000003,0.8809999999999999,1.02,1.469,1.821,1.802,1.287,0.0730252,0.129055,0.695439
159,1.193,2.214,0.848,0.992,1.465,1.821,1.765,1.301,0.0692112,0.128889,0.695162
160,1.146,2.2,0.8009999999999999,0.988,1.474,1.807,1.713,1.297,0.0647432,0.127839,0.6947979999999999
161,1.146,2.219,0.815,0.978,1.4509999999999998,1.826,1.746,1.273,0.0600352,0.128662,0.695031
162,1.146,2.2230000000000003,0.782,0.997,0.0,1.826,1.77,1.311,0.0554466,0.13111,0.694913
163,1.161,2.237,0.754,1.011,1.5119999999999998,1.784,1.798,1.297,0.0518064,0.13251500000000002,0.6951529999999999
164,1.114,2.195,0.773,1.03,1.4980000000000002,1.826,1.774,1.264,0.0476383,0.1346,0.695118
165,1.118,2.191,0.768,0.978,1.4409999999999998,1.849,1.737,1.273,0.043898800000000016,0.13508699999999998,0.694607
166,1.142,2.186,0.731,1.025,1.526,1.826,1.788,1.259,0.0401102,0.137197,0.695112
167,1.114,2.195,0.7120000000000001,1.025,1.507,1.845,1.826,1.306,0.035833099999999986,0.139396,0.6952499999999999
168,1.132,2.181,0.7170000000000001,0.983,1.516,1.821,1.732,1.259,0.0313926,0.141126,0.695082
169,1.132,2.186,0.7120000000000001,0.955,1.469,1.807,1.779,1.264,0.027852,0.143523,0.6951949999999999
170,1.095,2.195,0.684,0.969,1.469,1.84,1.732,1.2819999999999998,0.0236946,0.14543599999999998,0.6948859999999999
171,1.091,2.172,0.675,0.936,1.535,1.807,1.704,1.268,0.019522900000000003,0.146878,0.694773
172,1.114,2.191,0.66,0.941,1.521,1.817,1.723,1.2819999999999998,0.014244499999999997,0.14943,0.694897
173,1.119,2.162,0.684,0.931,1.479,1.831,1.723,1.25,0.0101945,0.152168,0.695383
174,1.1,2.172,0.862,0.964,1.544,1.849,1.666,1.236,0.00699018,0.15447,0.69517
175,1.081,2.181,0.8059999999999999,0.974,1.507,1.882,1.699,1.226,0.00382353,0.15761,0.69482
176,1.077,2.176,0.898,1.025,1.5490000000000002,1.849,1.662,1.259,-0.0005038919999999999,0.159349,0.694958
177,1.081,2.186,0.903,1.058,1.526,1.845,1.709,1.259,-0.00552627,0.162214,0.694793
178,1.091,2.181,0.898,1.077,1.516,1.868,1.709,1.226,-0.0105934,0.16567,0.694702
179,1.063,2.186,1.118,1.119,1.554,1.863,1.7180000000000002,1.231,-0.0150947,0.16758,0.6947399999999999
180,1.067,2.205,1.226,1.114,1.591,1.844,1.727,1.264,-0.018365,0.170282,0.694453
181,1.034,2.176,1.24,1.105,1.5590000000000002,1.928,1.704,1.221,-0.022,0.171789,0.6949919999999999
182,1.077,2.172,0.8340000000000001,1.063,1.53,1.896,1.662,1.212,-0.0258559,0.17266199999999998,0.694341
183,1.058,2.191,1.086,1.077,1.5490000000000002,1.896,1.685,1.254,-0.0306063,0.173927,0.6947439999999999
184,1.039,2.172,1.095,1.132,1.5730000000000002,1.933,1.648,1.221,-0.0355445,0.175448,0.694506
185,1.034,2.162,1.198,1.165,1.587,1.933,1.732,1.236,-0.039623,0.177596,0.6948909999999999
186,1.039,2.2,1.193,1.095,1.582,1.882,1.713,1.198,-0.043554,0.1799,0.6950149999999999
187,1.058,2.186,1.156,1.142,1.596,1.877,1.732,1.193,-0.0478898,0.180279,0.694959
188,1.02,2.153,1.17,1.128,1.605,1.886,1.751,1.193,-0.0521744,0.180182,0.695056
189,1.034,2.176,1.119,1.137,1.601,1.886,1.746,1.207,-0.0565604,0.181714,0.695132
190,1.025,2.176,1.189,1.128,1.634,1.891,1.779,1.175,-0.0606546,0.183005,0.695047
191,0.983,2.153,1.081,1.156,1.643,1.886,1.788,1.17,-0.06542970000000001,0.18475,0.695102
192,0.974,2.162,1.077,1.165,1.61,1.844,1.765,1.165,-0.0697424,0.185516,0.694962
193,1.025,2.153,1.034,1.118,1.643,1.849,1.802,1.137,-0.0753847,0.186743,0.6950069999999999
194,0.983,2.153,1.081,1.17,1.624,1.844,1.994,1.118,-0.079484,0.188148,0.6949369999999999
195,1.039,2.186,1.081,1.11,1.662,1.863,2.167,1.114,-0.08353769999999999,0.18939,0.694975
196,1.006,2.172,1.091,1.175,1.6569999999999998,1.849,2.209,1.137,-0.0879679,0.190485,0.694909
197,0.983,2.148,0.983,1.119,1.666,1.858,2.444,1.114,-0.0922454,0.192047,0.694974
198,1.016,2.162,0.964,1.146,1.662,1.882,2.004,1.081,-0.0964552,0.19281,0.694874
199,0.95,2.13,0.927,1.114,1.666,1.914,1.845,1.119,-0.100851,0.193388,0.6948899999999999
200,0.908,2.158,0.95,1.114,1.662,1.924,1.756,1.053,-0.105427,0.194815,0.694985
201,0.964,2.115,0.983,1.119,1.681,1.91,1.751,1.086,-0.10926099999999997,0.196193,0.694763
202,0.922,2.139,0.936,1.151,1.643,1.891,1.756,1.058,-0.113153,0.196667,0.694834
203,0.936,2.153,0.955,1.245,1.69,1.914,1.779,1.063,-0.117766,0.197179,0.694658
204,0.931,2.115,1.006,1.193,1.751,1.928,1.746,1.095,-0.122767,0.19749,0.694658
205,0.931,2.139,0.927,1.179,1.69,1.914,1.77,1.063,-0.12733699999999998,0.198172,0.694762
206,0.884,2.125,0.945,1.254,1.727,1.943,1.723,1.053,-0.132047,0.198666,0.695031
207,0.8759999999999999,2.13,0.884,1.217,1.737,1.975,1.723,1.067,-0.136998,0.199126,0.695004
208,0.913,2.115,0.908,1.207,1.723,1.947,1.709,1.0490000000000002,-0.141848,0.199939,0.694852
209,0.903,2.125,0.903,1.236,1.746,1.98,1.704,1.0490000000000002,-0.14698,0.199192,0.694564
210,0.889,2.139,0.898,1.212,1.732,1.943,1.676,1.044,-0.151728,0.19947,0.694665
211,0.857,2.115,0.894,1.226,1.784,1.961,1.699,1.011,-0.156248,0.199373,0.694639
212,0.913,2.106,0.8759999999999999,1.203,1.774,1.966,0.0,1.03,-0.160977,0.200762,0.694711
213,0.913,0.0,0.959,1.32,1.774,1.98,1.685,0.997,-0.163229,0.199982,0.694264
214,0.889,2.115,0.848,1.259,1.779,1.975,1.695,1.02,-0.167785,0.199795,0.694688
215,0.862,2.111,0.875,1.203,1.779,1.938,1.685,1.02,-0.173017,0.199086,0.69423
216,0.872,2.125,0.8759999999999999,1.217,1.798,1.928,1.723,1.02,-0.177324,0.199307,0.6945589999999999
217,0.862,2.101,0.8340000000000001,1.207,1.845,1.943,1.713,1.011,-0.183275,0.198602,0.694013
218,0.848,2.106,0.862,1.212,1.853,1.924,1.699,1.034,-0.188301,0.198605,0.69456
219,0.825,2.101,0.853,1.221,1.845,1.905,1.681,1.053,-0.192645,0.19843,0.694655
220,0.82,2.087,0.82,1.1840000000000002,1.821,1.933,1.685,1.016,-0.196266,0.198916,0.69441
221,0.843,2.115,0.857,1.231,1.853,1.943,1.713,1.063,-0.200705,0.19833,0.694071
222,0.82,2.125,0.8759999999999999,1.236,1.845,1.971,1.69,1.006,-0.205007,0.196751,0.6939569999999999
223,0.848,2.148,0.875,1.25,1.886,1.985,1.676,1.067,-0.210117,0.195694,0.694335
224,0.825,2.125,0.862,1.226,1.853,1.98,1.704,1.03,-0.214712,0.195302,0.6943619999999999
225,0.8290000000000001,2.097,0.857,1.212,1.849,1.994,1.7180000000000002,0.988,-0.219818,0.194456,0.6944069999999999
226,0.792,2.101,0.872,1.25,1.872,2.008,1.713,1.039,-0.223921,0.193082,0.69443
227,0.825,2.115,0.8390000000000001,1.226,1.849,2.013,1.709,1.063,-0.227962,0.190842,0.694126
228,0.8340000000000001,2.12,0.853,1.198,1.863,2.032,1.685,1.002,-0.231693,0.190285,0.6939609999999999
229,0.8059999999999999,2.101,0.867,1.198,1.868,1.98,1.713,0.983,-0.23607,0.189085,0.694074
230,0.8340000000000001,2.088,0.82,1.226,1.886,2.004,1.709,1.03,-0.241211,0.187725,0.69414
231,0.8290000000000001,2.101,0.8390000000000001,1.264,1.9,2.018,1.681,1.063,-0.244829,0.185576,0.694108
232,0.797,2.106,0.884,1.236,1.868,2.013,1.727,1.063,-0.249016,0.183918,0.694008
233,0.8290000000000001,2.097,0.825,1.231,1.905,2.036,1.732,1.044,-0.253128,0.182865,0.693943
234,0.8390000000000001,2.092,0.857,1.217,1.896,2.05,1.756,1.091,-0.25790100000000005,0.18189,0.693773
235,0.8290000000000001,2.065,0.8390000000000001,1.311,1.896,2.022,1.756,1.0490000000000002,-0.262486,0.180617,0.693593
236,0.815,2.092,0.857,1.217,1.905,2.013,1.699,1.025,-0.265685,0.179099,0.6936739999999999
237,0.8059999999999999,2.079,0.8340000000000001,1.24,1.933,2.027,1.685,1.063,-0.269177,0.176873,0.69358
238,0.8009999999999999,2.079,0.875,1.245,1.924,2.022,1.756,1.044,-0.273301,0.17487,0.693622
239,0.825,2.083,0.8809999999999999,1.24,1.9,2.018,1.727,1.058,-0.277622,0.172982,0.6936289999999999
240,0.8390000000000001,2.069,0.82,1.25,1.919,2.06,1.727,1.072,-0.282098,0.171625,0.693448
241,0.82,2.069,0.843,1.245,1.91,2.046,1.737,1.053,-0.286421,0.169947,0.693556
242,0.8390000000000001,2.083,0.8009999999999999,1.254,1.914,2.036,1.737,1.086,-0.290662,0.167416,0.69348
243,0.792,2.069,0.853,1.236,1.914,2.069,1.77,1.025,-0.295106,0.165214,0.693607
244,0.82,2.069,0.797,1.254,1.896,2.065,1.765,1.039,-0.298782,0.163741,0.6936129999999999
245,0.787,2.079,0.862,1.189,1.905,2.088,1.788,1.063,-0.302918,0.162194,0.6930879999999999
246,0.8859999999999999,2.055,0.848,1.311,1.924,2.083,1.802,1.044,-0.306807,0.160518,0.6936169999999999
247,0.8290000000000001,2.06,0.778,1.264,1.886,2.083,1.793,1.03,-0.311437,0.157972,0.693492
