,timestamp,R1,RSS1,R2,RSS2,R3,RSS3,R4,RSS4,R5,RSS5,R6,RSS6,R7,RSS7,R8,RSS8,X_M1,Y_M1,Z_M1,X_M2,Y_M2,Z_M2,X_M3,Y_M3,Z_M3,X_M4,Y_M4,Z_M4,X_M5,Y_M5,Z_M5,Unnamed: 32,Unnamed: 33,Unnamed: 34
0,1540477927.81075,1.273,-81,2.79,-90,1.4409999999999998,-81,1.38,-81,1.685,-81,1.325,-80,0.9590000000000001,-80,1.212,-82,0.473369,0.594547,0.437601,0.47312200000000004,0.68312,0.439713,0.318151,0.741168,0.44088900000000003,0.24121900000000002,0.561098,0.438792,0.36164,0.6359670000000001,0.615657,,,
1,1540477927.8607,1.325,-81,2.8089999999999997,-88,1.446,-83,1.4080000000000001,-80,1.7269999999999999,-85,1.297,-80,0.9640000000000001,-82,1.193,-82,0.47232299999999994,0.593263,0.43781000000000003,0.46927700000000006,0.681654,0.439525,0.312707,0.7351770000000001,0.44086499999999995,0.240835,0.552836,0.438039,0.35877800000000004,0.63092,0.615538,,,
2,1540477927.91069,1.334,-82,2.795,-86,1.4409999999999998,-80,1.4080000000000001,-79,1.713,-82,1.329,-80,0.941,-81,1.189,-81,0.471516,0.590735,0.437931,0.465761,0.68011,0.439792,0.30785300000000004,0.728904,0.440615,0.241013,0.5445989999999999,0.438028,0.356401,0.626288,0.6155689999999999,,,
3,1540477927.9607198,1.348,-86,2.767,-86,1.4269999999999998,-80,1.385,-80,1.704,-81,1.311,-80,0.9640000000000001,-80,1.151,-81,0.470376,0.589547,0.437683,0.46279899999999996,0.678146,0.439363,0.303552,0.7236229999999999,0.440308,0.24171700000000002,0.5377390000000001,0.43815600000000005,0.354643,0.621681,0.615329,,,
4,1540477928.01069,1.325,-81,2.7430000000000003,-86,1.4180000000000001,-80,1.4269999999999998,-79,1.671,-82,1.315,-80,0.988,-80,1.198,-81,0.469005,0.587708,0.43804799999999994,0.459665,0.676182,0.43962799999999996,0.29928499999999997,0.717214,0.44057399999999997,0.24180100000000002,0.5300159999999999,0.437849,0.353077,0.616855,0.6154350000000001,,,
5,1540477928.06074,1.315,-81,2.753,-88,1.455,-80,1.4080000000000001,-79,1.685,-81,1.3530000000000002,-80,0.988,-80,1.212,-81,0.468738,0.586849,0.437679,0.458034,0.6748069999999999,0.439551,0.296427,0.7133729999999999,0.440658,0.241986,0.525149,0.437612,0.351995,0.6138,0.615639,,,
6,1540477928.1107,1.334,-81,2.7760000000000002,-92,1.46,-82,1.38,-80,1.676,-81,1.385,-80,0.927,-80,1.189,-80,0.46857566666666667,0.5873659999999999,0.43764366666666665,0.455409,0.6749723333333333,0.43914833333333336,0.29311566666666666,0.7093403333333332,0.44009933333333334,0.24360666666666667,0.5198256666666666,0.43818666666666667,0.3512416666666667,0.6121443333333333,0.615441,,,
7,1540477928.16069,1.3530000000000002,-82,2.786,-86,1.446,-80,1.376,-80,1.666,-81,1.3619999999999999,-80,0.941,-80,1.207,-80,0.46841333333333335,0.5878829999999999,0.4376083333333333,0.452784,0.6751376666666666,0.4387456666666667,0.28980433333333333,0.7053076666666666,0.4395406666666667,0.24522733333333332,0.5145023333333333,0.43876133333333334,0.35048833333333335,0.6104886666666666,0.615243,,,
8,1540477928.21067,1.306,-81,2.7430000000000003,-86,1.469,-80,1.4269999999999998,-80,1.666,-82,1.3940000000000001,-80,0.945,-80,1.226,-81,0.46825100000000003,0.5884,0.43757299999999993,0.45015900000000003,0.675303,0.43834300000000004,0.286493,0.701275,0.438982,0.246848,0.509179,0.43933599999999995,0.349735,0.608833,0.615045,,,
9,1540477928.26069,1.371,-82,2.734,-87,1.493,-80,1.3940000000000001,-83,1.704,-85,1.348,-80,0.9740000000000001,-79,1.17,-80,0.468528,0.582756,0.43729399999999996,0.449927,0.669708,0.438431,0.286292,0.694398,0.43926899999999997,0.248335,0.5017010000000001,0.43868,0.350505,0.6015010000000001,0.614874,,,
