rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,data,-,dist,RSS,-,dist,RSS,-,dist,RSS,-,dist,RSS,-,dist,RSS,-,dist,RSS,-,dist,RSS,-,dist,RSS
1549812527768670902,,73274,,1549812527,740969896,"""pozyx_tag""",,0.717,-81.0,2.8,-84.0,4.064,-85.0,5.501,-85.0,2.172,-83.0,1.142,-80.0,2.303,-82.0,3.048,-81.0
1549812527798839079,,73275,,1549812527,768325090,"""pozyx_tag""",,0.721,-81.0,2.79,-84.0,4.082,-85.0,5.201,-85.0,2.181,-83.0,1.189,-79.0,2.294,-82.0,3.038,-81.0
1549812527827375749,,73276,,1549812527,798744916,"""pozyx_tag""",,0.707,-81.0,2.772,-84.0,4.087,-86.0,5.187,-85.0,2.172,-83.0,1.189,-79.0,2.317,-83.0,3.062,-81.0
1549812527854898699,,73277,,1549812527,827265977,"""pozyx_tag""",,0.726,-81.0,2.767,-84.0,4.082,-85.0,5.529,-85.0,2.176,-83.0,1.217,-79.0,2.327,-83.0,3.029,-81.0
1549812527882001781,,73278,,1549812527,854793071,"""pozyx_tag""",,0.731,-81.0,2.822,-84.0,4.078,-85.0,5.131,-85.0,2.195,-84.0,1.189,-79.0,2.294,-82.0,3.099,-81.0
1549812527911924247,,73279,,1549812527,881905078,"""pozyx_tag""",,0.745,-81.0,2.79,-84.0,4.087,-85.0,5.524,-85.0,2.214,-83.0,1.203,-79.0,2.303,-82.0,3.071,-81.0
1549812527939504776,,73280,,1549812527,911693096,"""pozyx_tag""",,0.736,-81.0,2.772,-84.0,4.092,-86.0,5.187,-85.0,2.176,-83.0,1.203,-79.0,2.312,-82.0,3.043,-81.0
1549812527967539734,,73281,,1549812527,939127922,"""pozyx_tag""",,0.726,-81.0,2.762,-84.0,4.087,-85.0,5.173,-85.0,2.172,-83.0,1.212,-80.0,2.312,-82.0,3.048,-81.0
1549812527994900959,,73282,,1549812527,967075109,"""pozyx_tag""",,0.731,-81.0,2.795,-84.0,4.059,-85.0,5.37,-85.0,2.181,-84.0,1.193,-80.0,2.322,-82.0,3.076,-81.0
1549812528022001814,,73283,,1549812527,994774103,"""pozyx_tag""",,0.707,-80.0,2.786,-84.0,4.096,-86.0,5.155,-85.0,2.195,-83.0,1.179,-80.0,2.284,-82.0,3.062,-81.0
1549812528049878540,,73284,,1549812528,21855115,"""pozyx_tag""",,0.717,-80.0,2.781,-84.0,4.082,-86.0,5.178,-86.0,2.176,-83.0,1.165,-80.0,2.303,-82.0,3.052,-81.0
1549812528081682258,,73285,,1549812528,49765110,"""pozyx_tag""",,0.74,-81.0,2.786,-84.0,4.082,-85.0,5.136,-85.0,2.209,-83.0,1.17,-79.0,2.312,-83.0,3.043,-81.0
1549812528111842288,,73286,,1549812528,81665992,"""pozyx_tag""",,0.717,-80.0,2.8,-85.0,4.059,-85.0,5.529,-87.0,2.148,-83.0,1.198,-79.0,2.28,-82.0,3.066,-81.0
